Accident_ID,District,Police_Station,Accident_DateTime,Latitude,Longitude,Road_Name,Road_Classification,Severity,No_of_Vehicles,Drivers_Killed,Drivers_Grievous_Injury,Drivers_Minor_Injury,Passengers_Killed,Passengers_Grievous_Injury,Passengers_Minor_Injury,Pedestrians_Killed,Pedestrians_Grievous_Injury,Pedestrians_Minor_Injury,Collision_Type,Collision_Feature,Weather_Condition,Light_Condition,Visibility,Traffic_Violation,Date,Year,Month,Hour,DayOfWeek,Month_Name,Severity_Score,Total_Killed,Total_Injured,Time_Category,DBSCAN_Cluster
ACC00011,Rajkot,Bhaktinagar PS,2021-09-28 23:59:00,22.750574,71.07973,Ring Road,District Road,Fatal,4,2,1,0,0,1,2,0,0,0,Rear-End,Pothole Area,Cloudy,Night - No Street Light,Unknown,No Seatbelt,2021-09-28,2021,9,23,Tuesday,Sep,3,2,4,Night,5
ACC00012,Rajkot,Mavdi PS,2024-01-04 14:08:00,21.381308,73.916573,Bypass Road,State Highway,Grievous,2,0,2,0,0,1,1,0,1,0,Pedestrian Hit,Speed Breaker,Clear,Daylight,Good,Drunk Driving,2024-01-04,2024,1,14,Thursday,Jan,2,0,5,Afternoon,71
ACC00013,Surat,Katargam PS,2023-02-16 00:24:00,23.706725,70.764947,Expressway,District Road,Minor,2,0,0,1,0,0,2,0,0,0,Pedestrian Hit,Pothole Area,Cloudy,Night - Street Light On,Moderate,Mobile Phone Use,2023-02-16,2023,2,0,Thursday,Feb,1,0,3,Night,9
ACC00014,Bharuch,Bharuch City PS,2021-04-13 18:30:00,24.022512,74.152907,NH-27,National Highway,Minor,2,0,0,3,0,0,2,0,0,0,Pedestrian Hit,Speed Breaker,Clear,Night - Street Light On,Unknown,Drunk Driving,2021-04-13,2021,4,18,Tuesday,Apr,1,0,5,Evening,54
ACC00015,Bhavnagar,Bhavnagar City PS,2023-05-09 21:37:00,21.555301,72.319274,SH-20,District Road,Fatal,1,0,0,0,1,2,0,0,0,1,Rear-End,Curve,Unknown,Night - No Street Light,Unknown,No Helmet,2023-05-09,2023,5,21,Tuesday,May,3,1,3,Evening,6
ACC00016,Bharuch,Bharuch City PS,2022-05-16 11:18:00,23.935227,71.95357,NH-8,District Road,Grievous,3,0,1,0,0,2,2,0,1,0,Single Vehicle,Pothole Area,Hazy,Night - No Street Light,Good,Signal Jumping,2022-05-16,2022,5,11,Monday,May,2,0,6,Morning,7
ACC00017,Gandhinagar,Dehgam PS,2022-03-08 22:21:00,23.017495,71.177751,SH-41,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Head-On,Bridge,Foggy,Daylight,Good,No Helmet,2022-03-08,2022,3,22,Tuesday,Mar,0,0,0,Night,3
ACC00018,Gandhinagar,Sector 7 PS,2023-06-24 17:45:00,20.144481,73.66357,NH-53,Rural Road,Damage Only,1,0,0,0,0,0,0,0,0,0,Rollover,Unknown,Foggy,Night - Street Light On,Unknown,Signal Jumping,2023-06-24,2023,6,17,Saturday,Jun,0,0,0,Afternoon,-1
ACC00019,Gandhinagar,Mansa PS,2021-03-23 11:13:00,23.167894,71.627266,SH-41,State Highway,Fatal,4,0,2,1,0,0,2,1,0,1,Hit & Run,Pothole Area,Rainy,Night - Street Light On,Moderate,Signal Jumping,2021-03-23,2021,3,11,Tuesday,Mar,3,1,6,Morning,3
ACC00020,Ahmedabad,Bodakdev PS,2021-03-21 15:14:00,24.324879,73.269379,SH-41,Urban Road,Minor,1,0,0,2,0,0,1,0,0,1,Rear-End,Pothole Area,Rainy,Dawn/Dusk,Poor,Mobile Phone Use,2021-03-21,2021,3,15,Sunday,Mar,1,0,4,Afternoon,8
ACC00021,Junagadh,Veraval PS,2021-02-26 03:56:00,20.921412,69.772438,NH-27,National Highway,Minor,2,0,0,2,0,0,0,0,0,1,Rollover,Pothole Area,Foggy,Dawn/Dusk,Good,No Seatbelt,2021-02-26,2021,2,3,Friday,Feb,1,0,3,Night,-1
ACC00022,Surat,Piplod PS,2024-01-08 21:46:00,23.490373,70.817174,City Road,National Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Side Impact,Pothole Area,Clear,Night - No Street Light,Poor,Unknown,2024-01-08,2024,1,21,Monday,Jan,0,0,0,Evening,9
ACC00023,Bharuch,Vagra PS,2024-11-28 09:35:00,22.034053,72.367103,NH-53,State Highway,Minor,0,0,0,2,0,0,2,0,0,1,Rollover,Bridge,Hazy,Daylight,Poor,Mobile Phone Use,2024-11-28,2024,11,9,Thursday,Nov,1,0,5,Morning,-1
ACC00024,Mehsana,Kadi PS,2023-06-25 21:13:00,23.751183,72.736557,City Road,State Highway,Minor,3,0,0,1,0,0,0,0,0,0,Head-On,Pothole Area,Unknown,Night - No Street Light,Good,Wrong Side Driving,2023-06-25,2023,6,21,Sunday,Jun,1,0,1,Evening,77
ACC00025,Surat,Udhna PS,2022-05-17 15:39:00,20.43501,72.067522,SH-6,District Road,Grievous,1,0,2,0,0,0,0,0,0,1,Single Vehicle,Bridge,Cloudy,Night - Street Light On,Moderate,Unknown,2022-05-17,2022,5,15,Tuesday,May,2,0,3,Afternoon,10
ACC00026,Junagadh,Keshod PS,2021-09-06 14:08:00,23.170858,71.85135,NH-8,Rural Road,Minor,4,0,0,2,0,0,1,0,0,0,Hit & Run,Pothole Area,Hazy,Dawn/Dusk,Unknown,Signal Jumping,2021-09-06,2021,9,14,Monday,Sep,1,0,3,Afternoon,3
ACC00027,Gandhinagar,Dehgam PS,2023-09-20 20:15:00,20.456423,69.811805,SH-20,Rural Road,Damage Only,1,0,0,0,0,0,0,0,0,0,Rollover,Curve,Rainy,Dawn/Dusk,Moderate,Wrong Side Driving,2023-09-20,2023,9,20,Wednesday,Sep,0,0,0,Evening,24
ACC00028,Anand,Borsad PS,2022-11-09 17:29:00,21.051438,73.800482,Industrial Road,District Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Single Vehicle,Unknown,Hazy,Dawn/Dusk,Unknown,Over Speeding,2022-11-09,2022,11,17,Wednesday,Nov,0,0,0,Afternoon,-1
ACC00029,Gandhinagar,Kalol PS,2023-05-09 17:47:00,23.779394,71.175846,SH-14,National Highway,Grievous,2,0,3,2,0,1,0,0,0,0,Hit & Run,Bridge,Foggy,Dawn/Dusk,Moderate,Overloading,2023-05-09,2023,5,17,Tuesday,May,2,0,6,Afternoon,11
ACC00030,Anand,Vallabh Vidyanagar PS,2023-08-04 05:03:00,21.605822,70.226253,Ring Road,National Highway,Grievous,1,0,3,2,0,1,0,0,0,0,Side Impact,Flyover,Cloudy,Night - No Street Light,Good,Overloading,2023-08-04,2023,8,5,Friday,Aug,2,0,6,Night,60
ACC00031,Surat,Udhna PS,2022-05-22 06:53:00,20.800959,72.317591,Industrial Road,State Highway,Grievous,3,0,3,0,0,1,0,0,1,1,Rear-End,Junction/Intersection,Foggy,Night - Street Light On,Good,Signal Jumping,2022-05-22,2022,5,6,Sunday,May,2,0,6,Morning,12
ACC00032,Rajkot,Rajkot Central PS,2024-04-27 22:53:00,20.568746,73.456847,Industrial Road,Urban Road,Grievous,3,0,3,0,0,1,2,0,1,0,Pedestrian Hit,Speed Breaker,Clear,Night - No Street Light,Unknown,Unknown,2024-04-27,2024,4,22,Saturday,Apr,2,0,7,Night,13
ACC00033,Mehsana,Mehsana City PS,2023-06-07 11:40:00,22.214801,69.209663,Airport Road,State Highway,Minor,3,0,0,2,0,0,0,0,0,0,Single Vehicle,Flyover,Hazy,Dawn/Dusk,Unknown,No Seatbelt,2023-06-07,2023,6,11,Wednesday,Jun,1,0,2,Morning,14
ACC00034,Gandhinagar,Kalol PS,2022-05-15 14:36:00,21.843351,73.461003,NH-53,National Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Hit & Run,Flyover,Foggy,Night - No Street Light,Poor,Unknown,2022-05-15,2022,5,14,Sunday,May,0,0,0,Afternoon,-1
ACC00035,Junagadh,Junagadh City PS,2023-11-25 06:05:00,21.969569,69.614041,Bypass Road,National Highway,Damage Only,0,0,0,0,0,0,0,0,0,0,Single Vehicle,Bridge,Clear,Daylight,Poor,Wrong Side Driving,2023-11-25,2023,11,6,Saturday,Nov,0,0,0,Morning,1
ACC00036,Rajkot,Kalavad Road PS,2024-09-21 18:23:00,22.542241,72.799393,SH-20,Urban Road,Grievous,2,0,1,1,0,2,2,0,0,0,Side Impact,Junction/Intersection,Foggy,Night - No Street Light,Moderate,Drunk Driving,2024-09-21,2024,9,18,Saturday,Sep,2,0,6,Evening,92
ACC00037,Rajkot,Kalawad PS,2022-07-21 23:37:00,22.51333,68.733314,SH-6,National Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Side Impact,Curve,Foggy,Daylight,Moderate,Mobile Phone Use,2022-07-21,2022,7,23,Thursday,Jul,0,0,0,Night,15
ACC00038,Surat,Piplod PS,2022-08-22 22:08:00,23.562844,68.177272,SH-14,Urban Road,Minor,1,0,0,1,0,0,1,0,0,1,Hit & Run,Junction/Intersection,Rainy,Daylight,Poor,Overloading,2022-08-22,2022,8,22,Monday,Aug,1,0,3,Night,16
ACC00039,Ahmedabad,Bapunagar PS,2024-07-13 21:03:00,23.831254,68.63664,SH-6,Urban Road,Fatal,4,1,2,1,2,0,2,1,0,0,Head-On,Bridge,Hazy,Night - Street Light On,Unknown,Overloading,2024-07-13,2024,7,21,Saturday,Jul,3,4,5,Evening,-1
ACC00040,Rajkot,Kalavad Road PS,2024-09-14 02:10:00,22.639164,70.673661,Expressway,State Highway,Fatal,1,2,1,0,0,2,0,1,0,0,Rollover,Straight Road,Rainy,Night - No Street Light,Poor,Overloading,2024-09-14,2024,9,2,Saturday,Sep,3,3,3,Night,5
ACC00041,Gandhinagar,Sector 7 PS,2021-05-27 01:10:00,22.837203,73.903513,Bypass Road,Urban Road,Minor,4,0,0,2,0,0,0,0,0,0,Head-On,Junction/Intersection,Unknown,Dawn/Dusk,Poor,Unknown,2021-05-27,2021,5,1,Thursday,May,1,0,2,Night,17
ACC00042,Anand,Khambhat PS,2024-05-21 08:01:00,24.524791,71.723754,NH-48,State Highway,Fatal,4,1,0,1,0,1,1,1,1,1,Pedestrian Hit,Junction/Intersection,Hazy,Daylight,Moderate,Overloading,2024-05-21,2024,5,8,Tuesday,May,3,2,5,Morning,18
ACC00043,Bharuch,Bharuch City PS,2021-11-26 10:26:00,21.425802,73.225466,Airport Road,State Highway,Grievous,1,0,3,2,0,1,1,0,0,0,Head-On,Junction/Intersection,Foggy,Night - No Street Light,Good,No Seatbelt,2021-11-26,2021,11,10,Friday,Nov,2,0,7,Morning,19
ACC00044,Junagadh,Veraval PS,2024-06-29 15:40:00,20.337414,68.925383,SH-14,Urban Road,Minor,3,0,0,3,0,0,0,0,0,1,Hit & Run,Bridge,Clear,Daylight,Moderate,Signal Jumping,2024-06-29,2024,6,15,Saturday,Jun,1,0,4,Afternoon,-1
ACC00045,Ahmedabad,Maninagar PS,2021-08-21 14:07:00,20.808267,69.938728,Expressway,Urban Road,Minor,2,0,0,2,0,0,0,0,0,0,Side Impact,Bridge,Cloudy,Night - Street Light On,Unknown,Unknown,2021-08-21,2021,8,14,Saturday,Aug,1,0,2,Afternoon,95
ACC00047,Mehsana,Visnagar PS,2022-01-22 22:15:00,21.174387,68.374978,Expressway,Urban Road,Minor,1,0,0,1,0,0,2,0,0,1,Hit & Run,Flyover,Cloudy,Dawn/Dusk,Moderate,Overloading,2022-01-22,2022,1,22,Saturday,Jan,1,0,4,Night,20
ACC00048,Ahmedabad,Bodakdev PS,2021-07-24 16:58:00,23.423242,72.225122,NH-53,Urban Road,Minor,4,0,0,2,0,0,2,0,0,1,Head-On,Junction/Intersection,Foggy,Dawn/Dusk,Good,No Helmet,2021-07-24,2021,7,16,Saturday,Jul,1,0,5,Afternoon,-1
ACC00049,Junagadh,Junagadh City PS,2024-06-18 02:15:00,24.336274,72.804628,Ring Road,District Road,Minor,1,0,0,1,0,0,1,0,0,0,Head-On,Pothole Area,Clear,Dawn/Dusk,Moderate,Mobile Phone Use,2024-06-18,2024,6,2,Tuesday,Jun,1,0,2,Night,-1
ACC00050,Gandhinagar,Mansa PS,2023-02-07 13:09:00,21.995438,69.234358,NH-53,National Highway,Fatal,2,0,1,1,1,0,2,1,1,1,Head-On,Bridge,Hazy,Night - Street Light On,Unknown,Unknown,2023-02-07,2023,2,13,Tuesday,Feb,3,2,6,Afternoon,-1
ACC00051,Junagadh,Keshod PS,2021-06-01 14:22:00,21.47611,72.448975,Bypass Road,National Highway,Minor,3,0,0,3,0,0,1,0,0,1,Pedestrian Hit,Bridge,Cloudy,Daylight,Moderate,No Seatbelt,2021-06-01,2021,6,14,Tuesday,Jun,1,0,5,Afternoon,6
ACC00052,Surat,Adajan PS,2022-07-17 00:36:00,23.680233,73.836887,Expressway,State Highway,Minor,2,0,0,3,0,0,1,0,0,0,Hit & Run,Junction/Intersection,Rainy,Night - No Street Light,Moderate,Unknown,2022-07-17,2022,7,0,Sunday,Jul,1,0,4,Night,21
ACC00053,Ahmedabad,Naranpura PS,2022-09-25 14:02:00,23.468855,69.959196,Expressway,Rural Road,Grievous,3,0,2,1,0,1,2,0,1,0,Hit & Run,Curve,Hazy,Night - No Street Light,Poor,Signal Jumping,2022-09-25,2022,9,14,Sunday,Sep,2,0,7,Afternoon,9
ACC00054,Ahmedabad,Maninagar PS,2022-04-08 21:46:00,21.928093,71.611069,NH-27,State Highway,Minor,3,0,0,3,0,0,1,0,0,1,Pedestrian Hit,Junction/Intersection,Hazy,Daylight,Unknown,No Helmet,2022-04-08,2022,4,21,Friday,Apr,1,0,5,Evening,2
ACC00055,Ahmedabad,Maninagar PS,2023-08-24 00:39:00,22.682474,69.494613,NH-27,State Highway,Fatal,1,0,0,0,1,2,0,1,1,0,Single Vehicle,Pothole Area,Foggy,Dawn/Dusk,Good,Signal Jumping,2023-08-24,2023,8,0,Thursday,Aug,3,2,3,Night,22
ACC00056,Mehsana,Visnagar PS,2024-10-05 23:44:00,22.027983,69.073494,Ring Road,State Highway,Grievous,3,0,2,0,0,0,1,0,0,1,Single Vehicle,Bridge,Hazy,Dawn/Dusk,Poor,Over Speeding,2024-10-05,2024,10,23,Saturday,Oct,2,0,4,Night,14
ACC00057,Bharuch,Amod PS,2024-08-13 11:03:00,20.973119,73.442609,Bypass Road,Rural Road,Damage Only,2,0,0,0,0,0,0,0,0,0,Head-On,Pothole Area,Unknown,Daylight,Good,No Helmet,2024-08-13,2024,8,11,Tuesday,Aug,0,0,0,Morning,-1
ACC00058,Vadodara,Gotri PS,2022-02-25 02:53:00,21.052924,73.579081,SH-20,District Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Speed Breaker,Clear,Night - No Street Light,Moderate,Signal Jumping,2022-02-25,2022,2,2,Friday,Feb,0,0,0,Night,-1
ACC00060,Junagadh,Keshod PS,2024-06-13 01:46:00,24.088112,70.985668,NH-48,Urban Road,Minor,4,0,0,1,0,0,0,0,0,1,Head-On,Flyover,Cloudy,Dawn/Dusk,Good,Overloading,2024-06-13,2024,6,1,Thursday,Jun,1,0,2,Night,23
ACC00061,Bhavnagar,Sihor PS,2021-05-15 04:17:00,22.792678,70.499698,Industrial Road,Urban Road,Damage Only,0,0,0,0,0,0,0,0,0,0,Rollover,Speed Breaker,Hazy,Dawn/Dusk,Good,Drunk Driving,2021-05-15,2021,5,4,Saturday,May,0,0,0,Night,-1
ACC00062,Anand,Borsad PS,2022-04-13 13:21:00,21.934159,70.069055,SH-20,State Highway,Fatal,1,0,0,1,1,0,0,0,0,1,Single Vehicle,Curve,Unknown,Dawn/Dusk,Good,Drunk Driving,2022-04-13,2022,4,13,Wednesday,Apr,3,1,2,Afternoon,1
ACC00063,Anand,Khambhat PS,2024-09-24 13:55:00,20.336652,70.068428,NH-27,State Highway,Minor,3,0,0,3,0,0,1,0,0,0,Rollover,Curve,Unknown,Dawn/Dusk,Moderate,Drunk Driving,2024-09-24,2024,9,13,Tuesday,Sep,1,0,4,Afternoon,24
ACC00064,Gandhinagar,Dehgam PS,2022-04-09 13:54:00,23.63019,72.352353,Airport Road,Urban Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Head-On,Pothole Area,Unknown,Night - No Street Light,Good,Signal Jumping,2022-04-09,2022,4,13,Saturday,Apr,0,0,0,Afternoon,-1
ACC00065,Gandhinagar,Mansa PS,2022-12-20 00:11:00,22.705077,68.99381,City Road,National Highway,Minor,3,0,0,1,0,0,1,0,0,1,Head-On,Speed Breaker,Rainy,Dawn/Dusk,Unknown,Overloading,2022-12-20,2022,12,0,Tuesday,Dec,1,0,3,Night,-1
ACC00066,Bharuch,Amod PS,2024-05-06 02:56:00,20.824086,72.346003,SH-14,State Highway,Grievous,2,0,1,2,0,1,1,0,1,0,Hit & Run,Bridge,Hazy,Dawn/Dusk,Unknown,Mobile Phone Use,2024-05-06,2024,5,2,Monday,May,2,0,6,Night,12
ACC00067,Bhavnagar,Palitana PS,2023-12-16 21:19:00,21.918212,68.148429,SH-14,National Highway,Grievous,1,0,0,1,0,0,1,0,1,0,Rear-End,Flyover,Foggy,Night - No Street Light,Poor,Drunk Driving,2023-12-16,2023,12,21,Saturday,Dec,2,0,3,Evening,25
ACC00068,Junagadh,Keshod PS,2023-10-22 17:53:00,21.729169,72.77486,Ring Road,Rural Road,Grievous,4,0,1,1,0,0,1,0,0,1,Head-On,Straight Road,Foggy,Dawn/Dusk,Unknown,Unknown,2023-10-22,2023,10,17,Sunday,Oct,2,0,4,Afternoon,19
ACC00069,Bhavnagar,Palitana PS,2024-11-13 11:05:00,20.58697,70.622834,NH-27,District Road,Minor,1,0,0,3,0,0,2,0,0,0,Hit & Run,Pothole Area,Foggy,Night - Street Light On,Poor,Signal Jumping,2024-11-13,2024,11,11,Wednesday,Nov,1,0,5,Morning,26
ACC00070,Junagadh,Manavadar PS,2022-02-02 11:22:00,23.867164,69.588494,NH-53,State Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Side Impact,Speed Breaker,Rainy,Daylight,Moderate,Unknown,2022-02-02,2022,2,11,Wednesday,Feb,0,0,0,Morning,-1
ACC00071,Mehsana,Patan PS,2024-04-01 14:43:00,22.696662,72.034487,SH-41,Rural Road,Grievous,3,0,3,1,0,1,0,0,1,0,Single Vehicle,Bridge,Clear,Dawn/Dusk,Unknown,Unknown,2024-04-01,2024,4,14,Monday,Apr,2,0,6,Afternoon,27
ACC00072,Mehsana,Kadi PS,2021-03-19 01:23:00,20.452963,73.488348,Industrial Road,District Road,Grievous,2,0,3,1,0,2,1,0,0,0,Rollover,Bridge,Hazy,Daylight,Unknown,Unknown,2021-03-19,2021,3,1,Friday,Mar,2,0,7,Night,13
ACC00073,Mehsana,Mehsana City PS,2022-12-05 22:05:00,20.893771,70.857877,Bypass Road,State Highway,Fatal,4,1,0,1,2,0,1,0,1,1,Rollover,Curve,Foggy,Night - No Street Light,Poor,No Seatbelt,2022-12-05,2022,12,22,Monday,Dec,3,3,4,Night,-1
ACC00074,Gandhinagar,Dehgam PS,2021-11-04 10:05:00,20.750571,74.196488,Expressway,District Road,Minor,4,0,0,3,0,0,1,0,0,0,Single Vehicle,Speed Breaker,Unknown,Daylight,Poor,Unknown,2021-11-04,2021,11,10,Thursday,Nov,1,0,4,Morning,28
ACC00075,Junagadh,Junagadh City PS,2024-08-16 21:27:00,20.18386,74.092367,SH-20,National Highway,Grievous,1,0,3,2,0,2,2,0,1,0,Pedestrian Hit,Curve,Rainy,Night - Street Light On,Good,Mobile Phone Use,2024-08-16,2024,8,21,Friday,Aug,2,0,10,Evening,81
ACC00076,Bhavnagar,Sihor PS,2024-05-08 12:09:00,23.924187,73.196975,NH-53,Rural Road,Grievous,3,0,2,2,0,2,0,0,1,0,Single Vehicle,Bridge,Foggy,Night - Street Light On,Unknown,Unknown,2024-05-08,2024,5,12,Wednesday,May,2,0,7,Afternoon,29
ACC00077,Mehsana,Unjha PS,2023-01-24 21:36:00,22.223728,70.505796,Airport Road,National Highway,Minor,4,0,0,2,0,0,2,0,0,0,Hit & Run,Flyover,Rainy,Night - Street Light On,Poor,Over Speeding,2023-01-24,2023,1,21,Tuesday,Jan,1,0,4,Evening,-1
ACC00078,Junagadh,Junagadh City PS,2022-08-07 02:48:00,22.166868,73.335594,NH-27,Rural Road,Grievous,3,0,2,0,0,1,0,0,0,0,Rear-End,Junction/Intersection,Clear,Dawn/Dusk,Good,No Seatbelt,2022-08-07,2022,8,2,Sunday,Aug,2,0,3,Night,-1
ACC00079,Bharuch,Bharuch City PS,2024-08-24 10:50:00,20.276195,71.076466,SH-41,Urban Road,Minor,3,0,0,1,0,0,0,0,0,1,Rear-End,Bridge,Cloudy,Daylight,Good,Over Speeding,2024-08-24,2024,8,10,Saturday,Aug,1,0,2,Morning,-1
ACC00080,Ahmedabad,Chandkheda PS,2022-05-02 09:07:00,22.031198,70.979816,NH-27,State Highway,Minor,3,0,0,2,0,0,0,0,0,1,Pedestrian Hit,Speed Breaker,Hazy,Daylight,Moderate,Signal Jumping,2022-05-02,2022,5,9,Monday,May,1,0,3,Morning,-1
ACC00081,Rajkot,Bhaktinagar PS,2023-05-04 05:42:00,22.508029,74.106443,Airport Road,State Highway,Minor,1,0,0,3,0,0,1,0,0,1,Rollover,Speed Breaker,Hazy,Daylight,Unknown,Overloading,2023-05-04,2023,5,5,Thursday,May,1,0,5,Night,-1
ACC00082,Gandhinagar,Sector 21 PS,2023-01-02 02:22:00,23.12268,71.765991,NH-8,District Road,Minor,4,0,0,3,0,0,1,0,0,0,Side Impact,Junction/Intersection,Hazy,Night - No Street Light,Moderate,Unknown,2023-01-02,2023,1,2,Monday,Jan,1,0,4,Night,3
ACC00083,Vadodara,Sayajigunj PS,2023-07-27 01:18:00,23.739102,70.088254,SH-14,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Rollover,Flyover,Hazy,Dawn/Dusk,Poor,Over Speeding,2023-07-27,2023,7,1,Thursday,Jul,0,0,0,Night,9
ACC00084,Gandhinagar,Mansa PS,2021-04-08 20:21:00,23.776975,70.620137,Bypass Road,State Highway,Grievous,3,0,3,0,0,0,1,0,0,1,Hit & Run,Curve,Cloudy,Dawn/Dusk,Poor,Unknown,2021-04-08,2021,4,20,Thursday,Apr,2,0,5,Evening,9
ACC00085,Junagadh,Veraval PS,2022-10-20 03:05:00,21.459944,72.621276,NH-53,National Highway,Minor,1,0,0,1,0,0,2,0,0,1,Single Vehicle,Bridge,Clear,Night - No Street Light,Unknown,Mobile Phone Use,2022-10-20,2022,10,3,Thursday,Oct,1,0,4,Night,19
ACC00086,Bharuch,Amod PS,2024-10-23 05:01:00,22.894835,68.319233,NH-27,Urban Road,Fatal,2,2,1,1,1,2,0,1,1,0,Rear-End,Junction/Intersection,Foggy,Dawn/Dusk,Good,Unknown,2024-10-23,2024,10,5,Wednesday,Oct,3,4,5,Night,15
ACC00087,Anand,Khambhat PS,2024-08-23 08:15:00,20.219201,71.361795,Airport Road,District Road,Grievous,3,0,2,2,0,0,0,0,0,0,Head-On,Junction/Intersection,Unknown,Dawn/Dusk,Moderate,Unknown,2024-08-23,2024,8,8,Friday,Aug,2,0,4,Morning,0
ACC00088,Mehsana,Unjha PS,2024-12-31 14:05:00,24.550782,72.307391,Expressway,District Road,Grievous,2,0,1,0,0,0,0,0,0,1,Head-On,Junction/Intersection,Foggy,Night - Street Light On,Moderate,No Helmet,2024-12-31,2024,12,14,Tuesday,Dec,2,0,2,Afternoon,86
ACC00089,Bharuch,Amod PS,2024-03-18 11:29:00,22.637576,68.643158,SH-14,Urban Road,Grievous,1,0,2,0,0,0,2,0,1,1,Hit & Run,Pothole Area,Cloudy,Dawn/Dusk,Unknown,Unknown,2024-03-18,2024,3,11,Monday,Mar,2,0,6,Morning,15
ACC00090,Junagadh,Veraval PS,2021-09-20 17:40:00,23.631796,71.268042,SH-41,Rural Road,Fatal,3,2,0,1,0,0,1,1,0,1,Head-On,Speed Breaker,Rainy,Night - No Street Light,Moderate,Signal Jumping,2021-09-20,2021,9,17,Monday,Sep,3,3,3,Afternoon,11
