Accident_ID,District,Police_Station,Accident_DateTime,Latitude,Longitude,Road_Name,Road_Classification,Severity,No_of_Vehicles,Drivers_Killed,Drivers_Grievous_Injury,Drivers_Minor_Injury,Passengers_Killed,Passengers_Grievous_Injury,Passengers_Minor_Injury,Pedestrians_Killed,Pedestrians_Grievous_Injury,Pedestrians_Minor_Injury,Collision_Type,Collision_Feature,Weather_Condition,Light_Condition,Visibility,Traffic_Violation,Date,Year,Month,Hour,DayOfWeek,Month_Name,Severity_Score,Total_Killed,Total_Injured,Time_Category
ACC00015,Bhavnagar,Bhavnagar City PS,2023-05-09 21:37:00,21.555301,72.319274,SH-20,District Road,Fatal,1,0,0,0,1,2,0,0,0,1,Rear-End,Curve,Unknown,Night - No Street Light,Unknown,No Helmet,2023-05-09,2023,5,21,Tuesday,May,3,1,3,Evening
ACC00016,Bharuch,Bharuch City PS,2022-05-16 11:18:00,23.935227,71.95357,NH-8,District Road,Grievous,3,0,1,0,0,2,2,0,1,0,Single Vehicle,Pothole Area,Hazy,Night - No Street Light,Good,Signal Jumping,2022-05-16,2022,5,11,Monday,May,2,0,6,Morning
ACC00017,Gandhinagar,Dehgam PS,2022-03-08 22:21:00,23.017495,71.177751,SH-41,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Head-On,Bridge,Foggy,Daylight,Good,No Helmet,2022-03-08,2022,3,22,Tuesday,Mar,0,0,0,Night
ACC00019,Gandhinagar,Mansa PS,2021-03-23 11:13:00,23.167894,71.627266,SH-41,State Highway,Fatal,4,0,2,1,0,0,2,1,0,1,Hit & Run,Pothole Area,Rainy,Night - Street Light On,Moderate,Signal Jumping,2021-03-23,2021,3,11,Tuesday,Mar,3,1,6,Morning
ACC00020,Ahmedabad,Bodakdev PS,2021-03-21 15:14:00,24.324879,73.269379,SH-41,Urban Road,Minor,1,0,0,2,0,0,1,0,0,1,Rear-End,Pothole Area,Rainy,Dawn/Dusk,Poor,Mobile Phone Use,2021-03-21,2021,3,15,Sunday,Mar,1,0,4,Afternoon
ACC00021,Junagadh,Veraval PS,2021-02-26 03:56:00,20.921412,69.772438,NH-27,National Highway,Minor,2,0,0,2,0,0,0,0,0,1,Rollover,Pothole Area,Foggy,Dawn/Dusk,Good,No Seatbelt,2021-02-26,2021,2,3,Friday,Feb,1,0,3,Night
ACC00022,Surat,Piplod PS,2024-01-08 21:46:00,23.490373,70.817174,City Road,National Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Side Impact,Pothole Area,Clear,Night - No Street Light,Poor,Unknown,2024-01-08,2024,1,21,Monday,Jan,0,0,0,Evening
ACC00023,Bharuch,Vagra PS,2024-11-28 09:35:00,22.034053,72.367103,NH-53,State Highway,Minor,0,0,0,2,0,0,2,0,0,1,Rollover,Bridge,Hazy,Daylight,Poor,Mobile Phone Use,2024-11-28,2024,11,9,Thursday,Nov,1,0,5,Morning
ACC00024,Mehsana,Kadi PS,2023-06-25 21:13:00,23.751183,72.736557,City Road,State Highway,Minor,3,0,0,1,0,0,0,0,0,0,Head-On,Pothole Area,Unknown,Night - No Street Light,Good,Wrong Side Driving,2023-06-25,2023,6,21,Sunday,Jun,1,0,1,Evening
ACC00026,Junagadh,Keshod PS,2021-09-06 14:08:00,23.170858,71.85135,NH-8,Rural Road,Minor,4,0,0,2,0,0,1,0,0,0,Hit & Run,Pothole Area,Hazy,Dawn/Dusk,Unknown,Signal Jumping,2021-09-06,2021,9,14,Monday,Sep,1,0,3,Afternoon
ACC00028,Anand,Borsad PS,2022-11-09 17:29:00,21.051438,73.800482,Industrial Road,District Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Single Vehicle,Unknown,Hazy,Dawn/Dusk,Unknown,Over Speeding,2022-11-09,2022,11,17,Wednesday,Nov,0,0,0,Afternoon
ACC00029,Gandhinagar,Kalol PS,2023-05-09 17:47:00,23.779394,71.175846,SH-14,National Highway,Grievous,2,0,3,2,0,1,0,0,0,0,Hit & Run,Bridge,Foggy,Dawn/Dusk,Moderate,Overloading,2023-05-09,2023,5,17,Tuesday,May,2,0,6,Afternoon
ACC00030,Anand,Vallabh Vidyanagar PS,2023-08-04 05:03:00,21.605822,70.226253,Ring Road,National Highway,Grievous,1,0,3,2,0,1,0,0,0,0,Side Impact,Flyover,Cloudy,Night - No Street Light,Good,Overloading,2023-08-04,2023,8,5,Friday,Aug,2,0,6,Night
ACC00031,Surat,Udhna PS,2022-05-22 06:53:00,20.800959,72.317591,Industrial Road,State Highway,Grievous,3,0,3,0,0,1,0,0,1,1,Rear-End,Junction/Intersection,Foggy,Night - Street Light On,Good,Signal Jumping,2022-05-22,2022,5,6,Sunday,May,2,0,6,Morning
ACC00034,Gandhinagar,Kalol PS,2022-05-15 14:36:00,21.843351,73.461003,NH-53,National Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Hit & Run,Flyover,Foggy,Night - No Street Light,Poor,Unknown,2022-05-15,2022,5,14,Sunday,May,0,0,0,Afternoon
ACC00035,Junagadh,Junagadh City PS,2023-11-25 06:05:00,21.969569,69.614041,Bypass Road,National Highway,Damage Only,0,0,0,0,0,0,0,0,0,0,Single Vehicle,Bridge,Clear,Daylight,Poor,Wrong Side Driving,2023-11-25,2023,11,6,Saturday,Nov,0,0,0,Morning
ACC00036,Rajkot,Kalavad Road PS,2024-09-21 18:23:00,22.542241,72.799393,SH-20,Urban Road,Grievous,2,0,1,1,0,2,2,0,0,0,Side Impact,Junction/Intersection,Foggy,Night - No Street Light,Moderate,Drunk Driving,2024-09-21,2024,9,18,Saturday,Sep,2,0,6,Evening
ACC00040,Rajkot,Kalavad Road PS,2024-09-14 02:10:00,22.639164,70.673661,Expressway,State Highway,Fatal,1,2,1,0,0,2,0,1,0,0,Rollover,Straight Road,Rainy,Night - No Street Light,Poor,Overloading,2024-09-14,2024,9,2,Saturday,Sep,3,3,3,Night
ACC00041,Gandhinagar,Sector 7 PS,2021-05-27 01:10:00,22.837203,73.903513,Bypass Road,Urban Road,Minor,4,0,0,2,0,0,0,0,0,0,Head-On,Junction/Intersection,Unknown,Dawn/Dusk,Poor,Unknown,2021-05-27,2021,5,1,Thursday,May,1,0,2,Night
ACC00042,Anand,Khambhat PS,2024-05-21 08:01:00,24.524791,71.723754,NH-48,State Highway,Fatal,4,1,0,1,0,1,1,1,1,1,Pedestrian Hit,Junction/Intersection,Hazy,Daylight,Moderate,Overloading,2024-05-21,2024,5,8,Tuesday,May,3,2,5,Morning
ACC00043,Bharuch,Bharuch City PS,2021-11-26 10:26:00,21.425802,73.225466,Airport Road,State Highway,Grievous,1,0,3,2,0,1,1,0,0,0,Head-On,Junction/Intersection,Foggy,Night - No Street Light,Good,No Seatbelt,2021-11-26,2021,11,10,Friday,Nov,2,0,7,Morning
ACC00045,Ahmedabad,Maninagar PS,2021-08-21 14:07:00,20.808267,69.938728,Expressway,Urban Road,Minor,2,0,0,2,0,0,0,0,0,0,Side Impact,Bridge,Cloudy,Night - Street Light On,Unknown,Unknown,2021-08-21,2021,8,14,Saturday,Aug,1,0,2,Afternoon
ACC00048,Ahmedabad,Bodakdev PS,2021-07-24 16:58:00,23.423242,72.225122,NH-53,Urban Road,Minor,4,0,0,2,0,0,2,0,0,1,Head-On,Junction/Intersection,Foggy,Dawn/Dusk,Good,No Helmet,2021-07-24,2021,7,16,Saturday,Jul,1,0,5,Afternoon
ACC00049,Junagadh,Junagadh City PS,2024-06-18 02:15:00,24.336274,72.804628,Ring Road,District Road,Minor,1,0,0,1,0,0,1,0,0,0,Head-On,Pothole Area,Clear,Dawn/Dusk,Moderate,Mobile Phone Use,2024-06-18,2024,6,2,Tuesday,Jun,1,0,2,Night
ACC00051,Junagadh,Keshod PS,2021-06-01 14:22:00,21.47611,72.448975,Bypass Road,National Highway,Minor,3,0,0,3,0,0,1,0,0,1,Pedestrian Hit,Bridge,Cloudy,Daylight,Moderate,No Seatbelt,2021-06-01,2021,6,14,Tuesday,Jun,1,0,5,Afternoon
ACC00052,Surat,Adajan PS,2022-07-17 00:36:00,23.680233,73.836887,Expressway,State Highway,Minor,2,0,0,3,0,0,1,0,0,0,Hit & Run,Junction/Intersection,Rainy,Night - No Street Light,Moderate,Unknown,2022-07-17,2022,7,0,Sunday,Jul,1,0,4,Night
ACC00053,Ahmedabad,Naranpura PS,2022-09-25 14:02:00,23.468855,69.959196,Expressway,Rural Road,Grievous,3,0,2,1,0,1,2,0,1,0,Hit & Run,Curve,Hazy,Night - No Street Light,Poor,Signal Jumping,2022-09-25,2022,9,14,Sunday,Sep,2,0,7,Afternoon
ACC00054,Ahmedabad,Maninagar PS,2022-04-08 21:46:00,21.928093,71.611069,NH-27,State Highway,Minor,3,0,0,3,0,0,1,0,0,1,Pedestrian Hit,Junction/Intersection,Hazy,Daylight,Unknown,No Helmet,2022-04-08,2022,4,21,Friday,Apr,1,0,5,Evening
ACC00057,Bharuch,Amod PS,2024-08-13 11:03:00,20.973119,73.442609,Bypass Road,Rural Road,Damage Only,2,0,0,0,0,0,0,0,0,0,Head-On,Pothole Area,Unknown,Daylight,Good,No Helmet,2024-08-13,2024,8,11,Tuesday,Aug,0,0,0,Morning
ACC00058,Vadodara,Gotri PS,2022-02-25 02:53:00,21.052924,73.579081,SH-20,District Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Speed Breaker,Clear,Night - No Street Light,Moderate,Signal Jumping,2022-02-25,2022,2,2,Friday,Feb,0,0,0,Night
ACC00060,Junagadh,Keshod PS,2024-06-13 01:46:00,24.088112,70.985668,NH-48,Urban Road,Minor,4,0,0,1,0,0,0,0,0,1,Head-On,Flyover,Cloudy,Dawn/Dusk,Good,Overloading,2024-06-13,2024,6,1,Thursday,Jun,1,0,2,Night
ACC00061,Bhavnagar,Sihor PS,2021-05-15 04:17:00,22.792678,70.499698,Industrial Road,Urban Road,Damage Only,0,0,0,0,0,0,0,0,0,0,Rollover,Speed Breaker,Hazy,Dawn/Dusk,Good,Drunk Driving,2021-05-15,2021,5,4,Saturday,May,0,0,0,Night
ACC00062,Anand,Borsad PS,2022-04-13 13:21:00,21.934159,70.069055,SH-20,State Highway,Fatal,1,0,0,1,1,0,0,0,0,1,Single Vehicle,Curve,Unknown,Dawn/Dusk,Good,Drunk Driving,2022-04-13,2022,4,13,Wednesday,Apr,3,1,2,Afternoon
ACC00064,Gandhinagar,Dehgam PS,2022-04-09 13:54:00,23.63019,72.352353,Airport Road,Urban Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Head-On,Pothole Area,Unknown,Night - No Street Light,Good,Signal Jumping,2022-04-09,2022,4,13,Saturday,Apr,0,0,0,Afternoon
ACC00066,Bharuch,Amod PS,2024-05-06 02:56:00,20.824086,72.346003,SH-14,State Highway,Grievous,2,0,1,2,0,1,1,0,1,0,Hit & Run,Bridge,Hazy,Dawn/Dusk,Unknown,Mobile Phone Use,2024-05-06,2024,5,2,Monday,May,2,0,6,Night
ACC00068,Junagadh,Keshod PS,2023-10-22 17:53:00,21.729169,72.77486,Ring Road,Rural Road,Grievous,4,0,1,1,0,0,1,0,0,1,Head-On,Straight Road,Foggy,Dawn/Dusk,Unknown,Unknown,2023-10-22,2023,10,17,Sunday,Oct,2,0,4,Afternoon
ACC00070,Junagadh,Manavadar PS,2022-02-02 11:22:00,23.867164,69.588494,NH-53,State Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Side Impact,Speed Breaker,Rainy,Daylight,Moderate,Unknown,2022-02-02,2022,2,11,Wednesday,Feb,0,0,0,Morning
ACC00071,Mehsana,Patan PS,2024-04-01 14:43:00,22.696662,72.034487,SH-41,Rural Road,Grievous,3,0,3,1,0,1,0,0,1,0,Single Vehicle,Bridge,Clear,Dawn/Dusk,Unknown,Unknown,2024-04-01,2024,4,14,Monday,Apr,2,0,6,Afternoon
ACC00073,Mehsana,Mehsana City PS,2022-12-05 22:05:00,20.893771,70.857877,Bypass Road,State Highway,Fatal,4,1,0,1,2,0,1,0,1,1,Rollover,Curve,Foggy,Night - No Street Light,Poor,No Seatbelt,2022-12-05,2022,12,22,Monday,Dec,3,3,4,Night
ACC00074,Gandhinagar,Dehgam PS,2021-11-04 10:05:00,20.750571,74.196488,Expressway,District Road,Minor,4,0,0,3,0,0,1,0,0,0,Single Vehicle,Speed Breaker,Unknown,Daylight,Poor,Unknown,2021-11-04,2021,11,10,Thursday,Nov,1,0,4,Morning
ACC00076,Bhavnagar,Sihor PS,2024-05-08 12:09:00,23.924187,73.196975,NH-53,Rural Road,Grievous,3,0,2,2,0,2,0,0,1,0,Single Vehicle,Bridge,Foggy,Night - Street Light On,Unknown,Unknown,2024-05-08,2024,5,12,Wednesday,May,2,0,7,Afternoon
ACC00077,Mehsana,Unjha PS,2023-01-24 21:36:00,22.223728,70.505796,Airport Road,National Highway,Minor,4,0,0,2,0,0,2,0,0,0,Hit & Run,Flyover,Rainy,Night - Street Light On,Poor,Over Speeding,2023-01-24,2023,1,21,Tuesday,Jan,1,0,4,Evening
ACC00078,Junagadh,Junagadh City PS,2022-08-07 02:48:00,22.166868,73.335594,NH-27,Rural Road,Grievous,3,0,2,0,0,1,0,0,0,0,Rear-End,Junction/Intersection,Clear,Dawn/Dusk,Good,No Seatbelt,2022-08-07,2022,8,2,Sunday,Aug,2,0,3,Night
ACC00080,Ahmedabad,Chandkheda PS,2022-05-02 09:07:00,22.031198,70.979816,NH-27,State Highway,Minor,3,0,0,2,0,0,0,0,0,1,Pedestrian Hit,Speed Breaker,Hazy,Daylight,Moderate,Signal Jumping,2022-05-02,2022,5,9,Monday,May,1,0,3,Morning
ACC00081,Rajkot,Bhaktinagar PS,2023-05-04 05:42:00,22.508029,74.106443,Airport Road,State Highway,Minor,1,0,0,3,0,0,1,0,0,1,Rollover,Speed Breaker,Hazy,Daylight,Unknown,Overloading,2023-05-04,2023,5,5,Thursday,May,1,0,5,Night
ACC00082,Gandhinagar,Sector 21 PS,2023-01-02 02:22:00,23.12268,71.765991,NH-8,District Road,Minor,4,0,0,3,0,0,1,0,0,0,Side Impact,Junction/Intersection,Hazy,Night - No Street Light,Moderate,Unknown,2023-01-02,2023,1,2,Monday,Jan,1,0,4,Night
ACC00083,Vadodara,Sayajigunj PS,2023-07-27 01:18:00,23.739102,70.088254,SH-14,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Rollover,Flyover,Hazy,Dawn/Dusk,Poor,Over Speeding,2023-07-27,2023,7,1,Thursday,Jul,0,0,0,Night
ACC00084,Gandhinagar,Mansa PS,2021-04-08 20:21:00,23.776975,70.620137,Bypass Road,State Highway,Grievous,3,0,3,0,0,0,1,0,0,1,Hit & Run,Curve,Cloudy,Dawn/Dusk,Poor,Unknown,2021-04-08,2021,4,20,Thursday,Apr,2,0,5,Evening
ACC00085,Junagadh,Veraval PS,2022-10-20 03:05:00,21.459944,72.621276,NH-53,National Highway,Minor,1,0,0,1,0,0,2,0,0,1,Single Vehicle,Bridge,Clear,Night - No Street Light,Unknown,Mobile Phone Use,2022-10-20,2022,10,3,Thursday,Oct,1,0,4,Night
ACC00088,Mehsana,Unjha PS,2024-12-31 14:05:00,24.550782,72.307391,Expressway,District Road,Grievous,2,0,1,0,0,0,0,0,0,1,Head-On,Junction/Intersection,Foggy,Night - Street Light On,Moderate,No Helmet,2024-12-31,2024,12,14,Tuesday,Dec,2,0,2,Afternoon
ACC00090,Junagadh,Veraval PS,2021-09-20 17:40:00,23.631796,71.268042,SH-41,Rural Road,Fatal,3,2,0,1,0,0,1,1,0,1,Head-On,Speed Breaker,Rainy,Night - No Street Light,Moderate,Signal Jumping,2021-09-20,2021,9,17,Monday,Sep,3,3,3,Afternoon
ACC00092,Junagadh,Veraval PS,2024-08-07 09:30:00,23.813807,70.957328,Expressway,Rural Road,Damage Only,2,0,0,0,0,0,0,0,0,0,Head-On,Bridge,Cloudy,Dawn/Dusk,Moderate,No Helmet,2024-08-07,2024,8,9,Wednesday,Aug,0,0,0,Morning
ACC00093,Bharuch,Jhagadia PS,2022-12-09 12:08:00,22.468909,69.622949,NH-27,State Highway,Minor,4,0,0,1,0,0,0,0,0,1,Side Impact,Curve,Clear,Daylight,Poor,No Seatbelt,2022-12-09,2022,12,12,Friday,Dec,1,0,2,Afternoon
ACC00094,Bhavnagar,Talaja PS,2022-01-24 05:31:00,22.24735,71.233433,NH-27,Urban Road,Minor,3,0,0,2,0,0,2,0,0,1,Hit & Run,Curve,Rainy,Night - No Street Light,Good,Over Speeding,2022-01-24,2022,1,5,Monday,Jan,1,0,5,Night
ACC00095,Gandhinagar,Dehgam PS,2021-01-17 03:27:00,21.316575,70.640501,NH-48,District Road,Grievous,4,0,2,2,0,1,2,0,0,0,Hit & Run,Speed Breaker,Rainy,Night - No Street Light,Poor,Drunk Driving,2021-01-17,2021,1,3,Sunday,Jan,2,0,7,Night
ACC00096,Ahmedabad,Bodakdev PS,2023-02-04 10:35:00,23.57284,71.307472,Airport Road,National Highway,Damage Only,0,0,0,0,0,0,0,0,0,0,Head-On,Unknown,Rainy,Night - No Street Light,Unknown,Unknown,2023-02-04,2023,2,10,Saturday,Feb,0,0,0,Morning
ACC00097,Vadodara,Gotri PS,2023-11-22 04:20:00,21.565238,71.983953,SH-41,Rural Road,Minor,1,0,0,2,0,0,1,0,0,0,Side Impact,Speed Breaker,Hazy,Dawn/Dusk,Poor,Overloading,2023-11-22,2023,11,4,Wednesday,Nov,1,0,3,Night
ACC00099,Surat,Adajan PS,2022-10-05 13:09:00,21.037902,71.952312,Bypass Road,Urban Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Pothole Area,Clear,Night - Street Light On,Moderate,Unknown,2022-10-05,2022,10,13,Wednesday,Oct,0,0,0,Afternoon
ACC00100,Mehsana,Patan PS,2023-02-11 10:11:00,22.552384,72.357972,SH-41,Urban Road,Minor,2,0,0,2,0,0,2,0,0,1,Single Vehicle,Flyover,Unknown,Night - No Street Light,Unknown,Wrong Side Driving,2023-02-11,2023,2,10,Saturday,Feb,1,0,5,Morning
ACC00101,Rajkot,Kalavad Road PS,2022-08-15 22:13:00,22.349414,71.631072,NH-8,District Road,Fatal,2,1,1,0,0,2,1,1,1,1,Single Vehicle,Straight Road,Hazy,Dawn/Dusk,Unknown,No Helmet,2022-08-15,2022,8,22,Monday,Aug,3,2,6,Night
ACC00102,Rajkot,Mavdi PS,2024-01-09 08:59:00,21.349459,72.767613,SH-6,National Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Rear-End,Speed Breaker,Rainy,Night - Street Light On,Good,Drunk Driving,2024-01-09,2024,1,8,Tuesday,Jan,0,0,0,Morning
ACC00104,Mehsana,Unjha PS,2022-08-16 01:00:00,22.872802,70.210765,Bypass Road,National Highway,Minor,1,0,0,2,0,0,0,0,0,1,Single Vehicle,Bridge,Rainy,Dawn/Dusk,Poor,Wrong Side Driving,2022-08-16,2022,8,1,Tuesday,Aug,1,0,3,Night
ACC00106,Gandhinagar,Kalol PS,2022-04-28 14:48:00,21.616276,71.709127,SH-14,District Road,Minor,2,0,0,2,0,0,2,0,0,1,Single Vehicle,Curve,Clear,Daylight,Unknown,Mobile Phone Use,2022-04-28,2022,4,14,Thursday,Apr,1,0,5,Afternoon
ACC00107,Ahmedabad,Chandkheda PS,2023-01-23 19:14:00,20.714416,72.810729,Industrial Road,Urban Road,Grievous,1,0,2,2,0,2,2,0,0,1,Side Impact,Speed Breaker,Cloudy,Night - Street Light On,Moderate,Unknown,2023-01-23,2023,1,19,Monday,Jan,2,0,9,Evening
ACC00108,Bhavnagar,Bhavnagar City PS,2021-05-07 17:57:00,22.734428,70.167141,Airport Road,Urban Road,Grievous,4,0,2,0,0,2,0,0,1,0,Hit & Run,Curve,Unknown,Dawn/Dusk,Good,Unknown,2021-05-07,2021,5,17,Friday,May,2,0,5,Afternoon
ACC00109,Bhavnagar,Bhavnagar City PS,2024-02-19 14:43:00,23.427088,73.243655,Expressway,State Highway,Minor,1,0,0,1,0,0,1,0,0,0,Rear-End,Straight Road,Cloudy,Night - No Street Light,Good,Unknown,2024-02-19,2024,2,14,Monday,Feb,1,0,2,Afternoon
ACC00110,Gandhinagar,Kalol PS,2022-01-04 04:49:00,23.454732,70.459104,Ring Road,District Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Hit & Run,Bridge,Cloudy,Daylight,Moderate,Unknown,2022-01-04,2022,1,4,Tuesday,Jan,0,0,0,Night
ACC00111,Ahmedabad,Maninagar PS,2024-01-06 12:33:00,24.602132,72.86393,SH-14,Urban Road,Minor,4,0,0,2,0,0,0,0,0,1,Hit & Run,Speed Breaker,Cloudy,Dawn/Dusk,Moderate,Wrong Side Driving,2024-01-06,2024,1,12,Saturday,Jan,1,0,3,Afternoon
ACC00112,Rajkot,Rajkot Central PS,2021-03-07 21:26:00,24.406694,69.616198,NH-27,National Highway,Grievous,4,0,1,1,0,0,2,0,0,0,Head-On,Bridge,Hazy,Daylight,Moderate,Over Speeding,2021-03-07,2021,3,21,Sunday,Mar,2,0,4,Evening
ACC00113,Junagadh,Veraval PS,2022-04-25 23:36:00,22.850421,70.12019,SH-14,State Highway,Grievous,0,0,3,2,0,0,2,0,1,1,Rear-End,Speed Breaker,Rainy,Dawn/Dusk,Poor,Mobile Phone Use,2022-04-25,2022,4,23,Monday,Apr,2,0,9,Night
ACC00115,Rajkot,Kalavad Road PS,2022-02-21 10:41:00,22.169019,71.474504,SH-41,Urban Road,Minor,2,0,0,2,0,0,0,0,0,1,Rear-End,Bridge,Unknown,Daylight,Good,Wrong Side Driving,2022-02-21,2022,2,10,Monday,Feb,1,0,3,Morning
ACC00116,Gandhinagar,Sector 21 PS,2022-03-10 06:47:00,24.698031,69.628337,Industrial Road,Urban Road,Minor,4,0,0,3,0,0,2,0,0,1,Single Vehicle,Curve,Hazy,Night - No Street Light,Poor,No Seatbelt,2022-03-10,2022,3,6,Thursday,Mar,1,0,6,Morning
ACC00118,Gandhinagar,Dehgam PS,2024-04-11 18:46:00,20.801092,70.492991,SH-41,National Highway,Minor,4,0,0,2,0,0,0,0,0,1,Rear-End,Pothole Area,Unknown,Night - No Street Light,Poor,Overloading,2024-04-11,2024,4,18,Thursday,Apr,1,0,3,Evening
ACC00121,Rajkot,Bhaktinagar PS,2023-12-15 08:52:00,23.756707,74.143576,Bypass Road,Rural Road,Damage Only,1,0,0,0,0,0,0,0,0,0,Rollover,Pothole Area,Rainy,Night - No Street Light,Good,Unknown,2023-12-15,2023,12,8,Friday,Dec,0,0,0,Morning
ACC00125,Ahmedabad,Chandkheda PS,2024-05-24 19:38:00,23.658353,69.82196,Bypass Road,Rural Road,Damage Only,4,0,0,0,0,0,0,0,0,0,Hit & Run,Speed Breaker,Cloudy,Dawn/Dusk,Moderate,Unknown,2024-05-24,2024,5,19,Friday,May,0,0,0,Evening
ACC00126,Ahmedabad,Bapunagar PS,2022-08-28 07:45:00,21.332671,73.038509,NH-53,State Highway,Grievous,4,0,2,1,0,0,0,0,0,0,Single Vehicle,Junction/Intersection,Clear,Daylight,Good,Mobile Phone Use,2022-08-28,2022,8,7,Sunday,Aug,2,0,3,Morning
ACC00129,Anand,Khambhat PS,2024-06-24 12:51:00,22.125025,73.288272,City Road,Rural Road,Minor,2,0,0,2,0,0,1,0,0,1,Rollover,Junction/Intersection,Hazy,Night - Street Light On,Unknown,No Helmet,2024-06-24,2024,6,12,Monday,Jun,1,0,4,Afternoon
ACC00130,Mehsana,Patan PS,2022-05-12 10:24:00,23.714986,73.972023,SH-6,District Road,Fatal,4,1,2,1,2,0,1,0,0,1,Rollover,Curve,Unknown,Daylight,Unknown,Wrong Side Driving,2022-05-12,2022,5,10,Thursday,May,3,3,5,Morning
ACC00131,Gandhinagar,Sector 7 PS,2023-05-17 12:04:00,22.850496,71.466515,SH-41,District Road,Damage Only,3,0,0,0,0,0,0,0,0,0,Single Vehicle,Straight Road,Foggy,Daylight,Good,Wrong Side Driving,2023-05-17,2023,5,12,Wednesday,May,0,0,0,Afternoon
